"id";"ss";"seite";"autor_vorname";"autor_nachname";"titel";"verlag";"ort";"jahr";"verlag_2";"ort_2";"jahr_2";"weitere";"volltext";"status"
74885;0;141;"Samuel";"Spoerri";"Widukind und der Frankenpriester";"Buchh. d. evang. Ges. f. Deutschland";"Elberfeld";"1934";;;;;"Spoerri, Samuel: Widukind und der Frankenpriester. Elberfeld: Buchh. d. evang. Ges. f. Deutschland 1934.";"parsed"
74884;1;141;"John L.";"Spivak";"Europe under the terror";"Simon & Schuster";"New York";"1936";;;;;"Spivak, John L.: Europe under the terror. New York: Simon & Schuster 1936.";"parsed"
74883;0;139;"Augustin";"Souchy";"Wie lebt der Arbeiter und Bauer in Russland u";"Der Syndikalist";"in der Ukraine? Berlin";"1921";;;;;"Souchy, Augustin: Wie lebt der Arbeiter und Bauer in Russland u. in der Ukraine? Berlin: Der Syndikalist 1921.";"parsed"
74882;0;139;"Leo S.";"Sosnowski";"Taten und Menschen";"Verl. f. Lit. u. Politik";"Wien";"1924";;;;;"Sosnowski, Leo S.: Taten und Menschen. Wien: Verl. f. Lit. u. Politik 1924.";"parsed"
74881;0;139;"Kurt";"Sorrel";"Das Blut der Schwester";"Pergamon-Verl.";"Berlin";"1933";;;;;"Sorrel, Kurt: Das Blut der Schwester. Berlin: Pergamon-Verl. 1933.";"parsed"
74880;0;139;;"Sorin";"Die Pionierbewegung der Union der Sozialist. Sowjetrepubliken";"Jugendinternationale";"Berlin";" 1926";;;;;"Sorin: Die Pionierbewegung der Union der Sozialist. Sowjetrepubliken. Berlin: Jugendinternationale 1926.";"parsed"
74879;0;139;"Hugo";"Sonnenschein";"Sämtliche Schriften";;;;;;;;"Sonnenschein, Hugo: Sämtliche Schriften.";"parsed"
74878;0;139;;;"Sonnenschein, Hugo ~ war ein Anarchist";"Rowohlt";" Berlin";" 1921";;;;;"Sonnenschein, Hugo ~ war ein Anarchist. Berlin: Rowohlt 1921.";"parsed"
74877;0;139;"Kurt";"Sonnenfeld";"Schopenhauer — heute";"Europäischer Verl.";"Wien";"1936";;;;;"Sonnenfeld, Kurt: Schopenhauer — heute. Wien: Europäischer Verl. 1936.";"parsed"
74876;1;139;;;"Sonnenburg, Folterhölle ~";"Mopr-Verl.";" Zürich-Paris";" 1934";;;;;"Sonnenburg, Folterhölle ~. Zürich-Paris: Mopr-Verl. 1934.";"parsed"
74875;0;139;"Emil";"Sonnemann";"Gerd Wullenweber";"Dietz";"Stuttgart";"1922";;;;;"Sonnemann, Emil: Gerd Wullenweber. Stuttgart: Dietz 1922.";"parsed"
74874;0;139;"Emil";"Sonnemann";"Jugendweihe";"Arbeiter-ugend-Verl.";"Berlin";"1924";;;;;"Sonnemann, Emil: Jugendweihe. Berlin: Arbeiter-ugend-Verl. 1924.";"parsed"
74873;0;139;"Hermann";"Sondermann";"Die Welt als Gegenwille";"Arischer Kulturverl.";"Dresden";"1934";;;;;"Sondermann, Hermann: Die Welt als Gegenwille. Dresden: Arischer Kulturverl. 1934.";"parsed"
